Date,day,month,year,price
07-01-1997,7,1,1997,3.82
08-01-1997,8,1,1997,3.8
09-01-1997,9,1,1997,3.61
10-01-1997,10,1,1997,3.92
13-01-1997,13,1,1997,4
14-01-1997,14,1,1997,4.01
15-01-1997,15,1,1997,4.34
16-01-1997,16,1,1997,4.71
17-01-1997,17,1,1997,3.91
20-01-1997,20,1,1997,3.26
21-01-1997,21,1,1997,2.99
22-01-1997,22,1,1997,3.05
23-01-1997,23,1,1997,2.96
24-01-1997,24,1,1997,2.62
27-01-1997,27,1,1997,2.98
28-01-1997,28,1,1997,3.05
29-01-1997,29,1,1997,2.91
30-01-1997,30,1,1997,2.86
31-01-1997,31,1,1997,2.77
03-02-1997,3,2,1997,2.49
04-02-1997,4,2,1997,2.59
05-02-1997,5,2,1997,2.65
06-02-1997,6,2,1997,2.51
07-02-1997,7,2,1997,2.39
10-02-1997,10,2,1997,2.42
11-02-1997,11,2,1997,2.34
12-02-1997,12,2,1997,2.42
13-02-1997,13,2,1997,2.22
14-02-1997,14,2,1997,2.12
18-02-1997,18,2,1997,1.84
19-02-1997,19,2,1997,1.95
20-02-1997,20,2,1997,1.92
21-02-1997,21,2,1997,1.92
24-02-1997,24,2,1997,1.92
25-02-1997,25,2,1997,1.77
26-02-1997,26,2,1997,1.81
27-02-1997,27,2,1997,1.8
28-02-1997,28,2,1997,1.78
03-03-1997,3,3,1997,1.8
04-03-1997,4,3,1997,1.87
05-03-1997,5,3,1997,1.92
06-03-1997,6,3,1997,1.82
07-03-1997,7,3,1997,1.89
10-03-1997,10,3,1997,1.95
11-03-1997,11,3,1997,1.92
12-03-1997,12,3,1997,1.96
13-03-1997,13,3,1997,1.98
14-03-1997,14,3,1997,1.97
17-03-1997,17,3,1997,2.01
18-03-1997,18,3,1997,1.91
19-03-1997,19,3,1997,1.88
20-03-1997,20,3,1997,1.88
21-03-1997,21,3,1997,1.87
24-03-1997,24,3,1997,1.8
25-03-1997,25,3,1997,1.85
26-03-1997,26,3,1997,1.85
27-03-1997,27,3,1997,1.84
31-03-1997,31,3,1997,1.84
01-04-1997,1,4,1997,1.95
02-04-1997,2,4,1997,1.85
03-04-1997,3,4,1997,1.87
04-04-1997,4,4,1997,1.91
07-04-1997,7,4,1997,1.99
08-04-1997,8,4,1997,2.01
09-04-1997,9,4,1997,1.96
10-04-1997,10,4,1997,1.97
11-04-1997,11,4,1997,1.98
14-04-1997,14,4,1997,2
15-04-1997,15,4,1997,2
16-04-1997,16,4,1997,2.02
17-04-1997,17,4,1997,2.08
18-04-1997,18,4,1997,2.1
21-04-1997,21,4,1997,2.09
22-04-1997,22,4,1997,2.1
23-04-1997,23,4,1997,2.22
24-04-1997,24,4,1997,2.11
25-04-1997,25,4,1997,2.16
28-04-1997,28,4,1997,2.1
29-04-1997,29,4,1997,2.09
30-04-1997,30,4,1997,2.16
01-05-1997,1,5,1997,2.19
02-05-1997,2,5,1997,2.21
05-05-1997,5,5,1997,2.23
06-05-1997,6,5,1997,2.25
07-05-1997,7,5,1997,2.34
08-05-1997,8,5,1997,2.33
09-05-1997,9,5,1997,2.3
12-05-1997,12,5,1997,2.27
13-05-1997,13,5,1997,2.18
14-05-1997,14,5,1997,2.22
15-05-1997,15,5,1997,2.25
16-05-1997,16,5,1997,2.19
19-05-1997,19,5,1997,2.25
20-05-1997,20,5,1997,2.22
21-05-1997,21,5,1997,2.21
22-05-1997,22,5,1997,2.22
23-05-1997,23,5,1997,2.2
27-05-1997,27,5,1997,2.29
28-05-1997,28,5,1997,2.34
29-05-1997,29,5,1997,2.29
30-05-1997,30,5,1997,2.23
02-06-1997,2,6,1997,2.2
03-06-1997,3,6,1997,2.11
04-06-1997,4,6,1997,2.19
05-06-1997,5,6,1997,2.18
06-06-1997,6,6,1997,2.19
09-06-1997,9,6,1997,2.19
10-06-1997,10,6,1997,2.16
11-06-1997,11,6,1997,2.16
12-06-1997,12,6,1997,2.14
13-06-1997,13,6,1997,2.15
16-06-1997,16,6,1997,2.2
17-06-1997,17,6,1997,2.2
18-06-1997,18,6,1997,2.22
19-06-1997,19,6,1997,2.23
20-06-1997,20,6,1997,2.25
23-06-1997,23,6,1997,2.29
24-06-1997,24,6,1997,2.32
25-06-1997,25,6,1997,2.32
26-06-1997,26,6,1997,2.23
27-06-1997,27,6,1997,2.17
30-06-1997,30,6,1997,2.17
01-07-1997,1,7,1997,2.16
02-07-1997,2,7,1997,2.14
03-07-1997,3,7,1997,2.11
07-07-1997,7,7,1997,2.13
08-07-1997,8,7,1997,2.13
09-07-1997,9,7,1997,2.16
10-07-1997,10,7,1997,2.15
11-07-1997,11,7,1997,2.16
14-07-1997,14,7,1997,2.18
15-07-1997,15,7,1997,2.21
16-07-1997,16,7,1997,2.24
17-07-1997,17,7,1997,2.29
18-07-1997,18,7,1997,2.26
21-07-1997,21,7,1997,2.17
22-07-1997,22,7,1997,2.18
23-07-1997,23,7,1997,2.2
24-07-1997,24,7,1997,2.24
25-07-1997,25,7,1997,2.22
28-07-1997,28,7,1997,2.19
